Match Number,Team Number,Auto Switch,Auto Scale,Tele Switch,Tele Scale,Vault,Climb
1,4541,0,0,0,2,3,0
1,384,0,0,2,4,0,0
1,5804,1,0,3,0,4,0
1,614,0,0,2,3,1,0
1,2363,0,0,0,3,0,1
1,5115,1,0,3,1,0,0
2,1885,0,0,4,1,2,0
2,5587,1,0,1,0,6,0
2,1262,0,0,1,4,0,1
2,1727,0,0,2,0,6,0
2,401,1,0,0,5,0,0
2,5950,0,0,3,0,1,0
3,1418,0,0,3,2,0,1
3,3274,0,0,2,3,2,0
3,1610,1,0,0,0,0,0
3,1111,0,0,0,2,4,0
3,611,0,0,2,1,0,1
3,339,0,0,2,3,0,0
4,6194,0,0,0,0,8,0
4,3136,0,0,0,0,0,1
4,620,0,0,1,0,0,0
4,888,1,0,1,0,5,1
4,540,0,0,5,0,1,0
4,2914,0,0,0,0,1,0
5,346,0,0,5,4,0,1
5,2377,1,0,1,4,0,0
5,6334,0,0,3,0,3,0
5,612,0,0,5,1,0,0
5,1629,1,0,1,3,1,1
5,1731,0,0,2,1,0,0
6,5243,0,1,0,3,1,0
6,1086,1,0,0,4,0,0
6,6882,0,0,0,0,3,1
6,623,0,0,0,3,0,0
6,422,0,0,4,4,0,0
6,5546,1,0,0,1,2,0
7,836,0,1,2,2,0,0
7,6326,0,0,0,0,9,0
7,6802,0,0,1,3,0,0
7,2106,0,0,0,3,0,0
7,2199,1,0,0,3,0,0
7,5957,0,0,0,0,4,0
8,116,0,0,0,0,7,0
8,122,0,0,2,5,0,0
8,2534,1,0,0,4,0,1
8,3793,0,0,2,2,0,0
8,977,0,0,1,2,0,0
8,6504,0,0,1,0,5,0
9,4242,0,0,5,0,5,0
9,1522,0,0,3,0,0,1
9,1599,0,0,0,2,1,1
9,2028,1,0,0,0,6,0
9,2537,1,1,1,3,0,0
9,4456,0,0,2,1,1,0
10,5724,0,0,0,1,0,0
10,4472,0,0,1,2,0,0
10,5279,0,0,0,0,1,1
10,5945,1,0,3,0,6,0
10,2890,0,0,0,0,2,0
10,5338,0,0,0,2,0,0
11,384,0,0,1,5,0,0
11,3274,0,0,2,0,10,0
11,339,0,0,0,3,2,1
11,888,1,0,1,0,7,1
11,1086,0,0,0,3,0,0
11,623,0,0,2,1,2,0
12,1727,0,0,2,0,7,0
12,5546,1,0,0,3,0,0
12,614,0,1,1,1,2,0
12,2914,0,0,1,0,5,0
12,611,0,0,0,2,0,0
12,6326,1,0,0,1,2,0
13,4541,1,0,1,2,3,0
13,346,0,1,3,2,0,1
13,1418,0,0,5,0,0,1
13,422,1,0,5,0,3,0
13,1610,0,0,3,1,0,0
13,1262,0,1,0,1,1,0
14,5804,1,0,0,4,0,1
14,6504,0,0,2,1,5,0
14,620,0,0,0,1,0,0
14,977,1,0,2,0,0,0
14,1111,1,0,0,3,0,0
14,1731,0,1,0,1,5,1
15,2537,1,0,3,0,6,0
15,612,1,0,1,6,0,0
15,836,0,1,1,5,0,1
15,5279,0,0,0,0,2,0
15,5950,1,0,4,0,1,0
15,2106,0,0,0,4,0,0
16,5587,1,0,0,3,0,0
16,3793,0,0,0,1,8,0
16,2199,1,0,0,4,0,0
16,2028,0,0,0,0,9,0
16,1522,0,0,0,1,0,0
16,5724,1,0,0,2,0,0
17,2363,0,1,0,3,2,0
17,122,0,0,5,0,2,0
17,2890,0,0,2,0,2,0
17,6194,0,0,0,0,5,0
17,2377,1,0,0,2,0,1
17,4242,0,0,1,2,0,0
18,3136,0,0,0,0,3,1
18,1599,0,0,0,5,0,1
18,5115,1,0,0,3,0,0
18,5243,0,0,0,3,0,0
18,4472,1,0,0,2,0,1
18,116,0,0,0,0,3,0
19,5338,0,0,0,1,1,0
19,401,0,0,0,6,1,0
19,540,0,0,2,0,4,0
19,6802,0,0,1,3,0,0
19,5957,0,0,0,1,6,0
19,6334,0,0,0,3,0,0
20,1629,1,1,3,5,0,1
20,6882,0,0,1,0,0,0
20,5945,1,0,1,0,8,0
20,2534,1,0,2,0,5,1
20,4456,0,0,2,0,0,0
20,1885,0,0,0,4,0,0
21,5279,0,0,0,0,1,1
21,6504,0,0,1,0,6,0
21,422,1,0,3,5,1,0
21,1522,0,0,0,1,0,1
21,1610,0,0,0,3,0,1
21,1727,0,0,1,0,0,0
22,2890,0,0,0,0,6,0
22,2377,0,0,1,2,0,1
22,612,1,0,3,1,0,0
22,5804,0,0,1,4,0,0
22,888,1,0,1,0,6,1
22,1418,0,0,1,1,0,0
23,2028,0,0,0,0,6,0
23,339,1,0,0,4,0,1
23,1262,1,0,0,2,0,0
23,620,0,0,0,4,0,0
23,116,0,0,1,1,8,0
