Match Number,Team Number,Auto Switch,Auto Scale,Tele Switch,Tele Scale,Vault,Climb
1,6326,0,0,0,0,0,0
1,6239,0,0,0,1,0,1
1,6863,0,0,1,0,0,0
1,614,1,0,2,2,0,0
1,2964,0,0,1,1,2,0
1,2961,0,0,0,0,0,0
2,4949,0,0,0,0,2,0
2,339,0,0,4,0,1,0
2,836,0,0,0,0,0,0
2,4472,0,0,3,2,0,1
2,6584,0,0,0,0,4,0
2,4456,0,0,0,0,1,0
3,2421,1,0,0,2,0,1
3,2199,0,1,0,4,0,0
3,5243,0,0,0,0,6,0
3,1629,0,1,1,4,1,0
3,6213,0,0,0,0,0,0
3,5945,0,0,1,0,7,0
4,4099,0,0,2,1,2,0
4,6505,0,0,0,0,0,0
4,686,0,0,0,2,0,0
4,4137,0,0,1,0,2,0
4,1727,0,0,0,0,0,0
4,3714,0,0,0,0,2,0
5,5841,0,0,0,0,0,0
5,3650,0,0,0,0,4,1
5,449,0,0,0,1,3,0
5,1915,0,0,0,0,3,0
5,2849,0,0,2,3,0,0
5,3748,0,0,0,0,0,0
6,2377,0,0,0,4,0,0
6,3389,0,1,1,1,2,0
6,5115,0,0,3,0,0,0
6,2988,0,0,0,0,2,0
6,3941,0,0,1,2,0,0
6,2537,0,0,1,3,0,0
7,2421,0,0,1,3,0,1
7,5549,0,0,2,0,0,0
7,4949,0,0,0,0,0,0
7,4541,1,0,2,2,2,0
7,5243,0,0,0,1,0,0
7,2961,0,0,0,0,0,0
8,449,0,0,0,3,0,0
8,5945,0,0,2,0,9,1
8,6505,0,0,1,0,1,0
8,339,0,0,2,0,0,0
8,6584,0,0,0,0,3,0
8,686,0,0,1,4,0,0
9,2988,0,0,1,0,0,0
9,6213,0,0,0,0,0,0
9,4137,0,0,1,0,2,0
9,4456,0,0,1,0,1,0
9,3941,0,0,0,0,0,0
9,4099,0,0,1,2,4,0
10,1727,1,0,0,0,5,1
10,6863,0,0,0,0,0,0
10,3389,1,0,1,0,0,0
10,5549,0,0,1,0,2,0
10,6326,1,0,0,0,0,0
10,4472,0,0,1,4,0,1
11,3650,0,0,0,0,0,1
11,6239,0,0,3,0,0,0
11,5115,0,0,0,0,4,0
11,4541,0,1,1,1,0,0
11,2377,1,0,0,2,0,1
11,1629,2,0,1,0,9,0
12,2199,1,0,1,4,0,0
12,2964,0,0,0,0,1,0
12,5841,0,0,0,0,1,0
12,3748,0,0,1,0,0,0
12,2537,0,0,0,1,2,0
12,3714,0,0,0,0,0,0
13,836,0,0,1,0,0,0
13,2421,0,0,0,2,0,1
13,2849,0,0,2,0,4,0
13,614,0,0,3,0,0,0
13,1915,0,0,0,0,0,0
13,6863,0,0,0,0,1,0
14,339,0,0,0,0,0,0
14,6326,0,0,1,3,2,0
14,3941,0,0,0,1,0,0
14,6505,1,0,0,1,1,0
14,1727,0,0,1,0,2,1
14,4541,1,0,0,5,0,0
15,449,1,0,0,4,2,0
15,4949,0,0,0,0,0,0
15,2964,0,0,1,0,1,0
15,3389,0,0,3,0,0,0
15,6213,0,0,0,0,0,0
15,5841,0,0,0,0,3,0
16,2537,0,1,0,3,0,0
16,614,1,0,3,1,0,0
16,4137,0,0,0,0,2,0
16,5549,0,0,0,0,4,0
16,2199,1,0,0,2,0,0
16,3650,0,0,0,0,0,0
17,5945,0,0,1,0,9,0
17,2961,0,0,0,0,0,0
17,6239,0,0,1,2,0,1
17,2988,0,0,0,0,2,0
17,1915,0,0,0,0,0,0
17,5115,1,0,1,0,0,0
18,5243,1,0,1,2,0,0
18,4472,0,0,3,2,0,0
18,1629,1,1,1,0,4,0
18,3714,0,0,0,0,0,0
18,2849,1,0,2,1,0,0
18,4456,0,0,3,0,0,0
19,4099,0,0,0,0,5,0
19,3748,0,0,1,0,0,0
19,6584,0,0,0,0,1,0
19,686,1,0,0,3,0,0
19,2377,0,1,4,1,0,1
19,836,0,0,0,2,0,0
20,6505,0,0,4,0,0,0
20,2961,0,0,0,0,0,0
20,6863,0,0,1,0,0,0
20,4137,0,0,0,0,0,0
20,1915,0,0,0,0,2,0
20,2199,1,0,0,3,0,0
21,3389,1,0,1,0,2,1
21,5243,1,0,0,2,3,0
21,339,0,0,0,0,0,0
21,6213,0,0,0,0,0,0
21,3650,0,0,0,0,7,0
21,2964,0,0,0,1,0,0
22,5549,0,0,1,0,1,0
22,5945,1,0,0,0,9,0
22,2377,0,0,0,5,0,1
22,5115,1,0,1,0,0,0
22,449,1,0,0,4,0,0
22,6326,0,0,2,0,0,0
23,2537,0,0,0,4,0,1
23,6239,0,0,1,0,0,0
23,1629,2,0,1,1,9,1
23,836,2,0,1,2,0,1
23,3941,1,0,0,0,0,0
23,6584,0,0,0,0,1,0
24,3714,0,0,0,0,0,0
24,614,0,0,1,2,5,0
24,4949,0,0,0,0,0,0
24,1727,0,0,1,0,4,0
24,3748,0,0,1,0,1,0
24,2421,0,0,0,0,0,0
25,4541,1,0,2,3,0,0
25,2849,0,0,1,0,6,0
25,4472,0,0,4,3,0,1
25,2988,0,0,0,0,3,0
25,4099,1,0,3,2,0,0
25,5841,0,0,0,0,0,0
26,5243,0,1,0,0,2,0
26,4456,1,0,3,0,0,0
26,836,0,1,0,0,0,0
26,686,1,0,1,1,1,0
26,5115,1,0,0,2,2,0
26,2961,0,0,1,0,1,0
27,614,1,0,0,1,0,0
27,339,1,0,0,3,0,1
27,6505,0,0,0,0,3,0
27,2377,0,0,0,5,0,1
27,3748,0,0,0,0,0,0
27,6239,0,0,0,0,0,0
28,3714,0,0,0,0,0,0
28,2421,0,0,0,2,0,0
28,3389,0,0,0,0,0,0
28,4541,0,0,1,2,0,0
28,5945,1,0,2,3,0,0
28,4099,1,0,3,0,9,0
29,1915,0,0,0,0,2,0
29,6584,0,0,0,0,5,0
29,6326,0,0,1,2,0,0
29,4472,1,0,0,3,0,0
29,4949,0,0,1,5,0,0
29,6213,0,0,0,0,0,0
30,3941,1,0,0,0,0,0
30,5549,0,0,1,0,2,0
30,4137,0,0,0,0,0,0
30,2964,0,0,0,0,4,0
30,1629,2,0,2,4,0,0
30,2849,0,0,1,0,0,0
31,1727,0,0,1,0,2,0
31,3650,0,0,0,0,0,0
31,2988,0,0,1,0,1,0
31,2537,0,1,4,0,1,1
31,2199,0,0,3,1,0,0
31,449,0,0,3,1,0,0
32,4456,0,0,5,0,0,1
32,686,0,0,0,0,0,0
32,5945,0,0,0,0,9,0
32,5841,0,0,1,0,1,0
32,6863,0,0,1,0,0,0
32,2377,1,0,2,3,0,1
33,6326,0,0,1,2,1,0
33,4137,0,0,0,0,4,0
33,2849,0,0,0,0,0,0
33,1915,0,0,0,0,1,0
33,339,1,0,0,4,0,0
33,2961,0,0,0,0,1,0
34,2964,0,0,0,0,1,0
34,2988,0,0,0,0,4,0
34,4541,1,0,0,4,0,0
34,6213,0,0,0,0,0,0
34,836,1,0,2,5,0,1
34,6505,0,0,0,0,6,0
35,5841,0,0,0,0,6,0
35,4472,0,1,0,3,0,1
35,614,0,1,0,1,0,0
35,686,0,0,0,0,7,0
35,5243,0,1,0,2,0,0
35,2537,0,0,0,2,0,0
36,4456,0,0,3,0,0,0
36,5115,0,0,1,3,0,0
36,4949,0,0,0,0,1,0
36,4099,1,0,1,2,0,0
36,1727,1,0,1,2,0,0
36,2199,0,0,0,0,8,1
37,449,0,0,0,3,1,0
37,3714,0,0,0,0,1,0
37,6239,0,0,2,0,1,0
37,6863,0,0,0,0,0,0
37,5549,1,0,0,4,2,0
37,1629,0,0,3,0,1,0
38,6584,0,0,0,0,1,0
38,2421,0,0,1,3,0,1
38,3650,0,0,0,0,1,0
38,3941,0,0,0,0,8,0
38,3389,0,0,0,5,0,0
38,3748,0,0,2,1,1,0
39,836,0,1,2,4,0,0
39,2537,1,0,0,2,0,1
39,4541,0,0,1,3,6,0
39,5945,1,0,2,0,7,0
39,4949,0,0,0,0,0,0
39,2199,0,1,0,6,0,0
40,6213,0,0,0,0,0,0
40,1915,0,0,0,0,2,0
40,2377,1,0,4,2,0,1
40,4099,0,0,3,0,0,0
40,5549,0,0,4,0,0,0
40,3714,0,0,0,0,2,0
41,4472,0,1,0,5,0,1
41,2988,0,0,1,0,1,0
41,686,1,0,4,0,1,0
41,6326,0,0,3,2,0,0
41,2964,0,0,0,0,2,0
41,2421,0,0,0,3,0,1
42,2961,0,0,0,0,2,0
42,5841,0,0,0,0,0,0
42,1727,0,0,1,0,1,1
42,3389,1,0,1,1,0,0
42,4137,0,0,1,0,4,0
42,6239,0,0,0,2,0,0
43,3748,0,0,3,1,0,0
43,6863,0,0,0,0,1,0
43,3650,0,0,0,0,6,1
43,6505,0,0,0,0,4,0
43,1629,0,0,6,3,0,1
43,3941,0,0,0,1,5,0
44,339,1,0,0,6,0,0
44,449,1,0,0,0,8,0
44,4456,0,0,3,0,0,0
44,614,1,0,2,0,5,0
44,5115,0,0,0,2,0,0
44,5243,0,1,0,4,0,0
45,2849,0,0,3,2,1,1
45,3389,0,0,3,2,1,1
45,2988,0,0,0,0,1,0
45,6584,0,0,0,0,3,0
45,2377,1,0,5,2,0,1
45,4949,0,0,0,0,0,0
46,3650,0,0,0,0,3,1
46,836,0,0,3,2,0,0
46,4099,0,0,3,0,6,0
46,5841,0,0,0,0,0,0
46,6326,0,0,1,0,0,0
46,6505,0,0,0,0,4,0
47,5549,0,0,1,0,5,0
47,686,1,0,0,3,0,0
47,1915,0,0,0,0,0,0
47,2421,0,0,0,2,0,0
47,4456,0,0,3,0,0,0
47,614,0,0,0,2,0,0
48,2199,0,0,3,2,0,0
48,3714,0,0,0,0,0,0
48,3941,1,0,0,1,6,0
48,6239,0,0,1,0,0,1
48,2849,0,0,2,0,7,0
48,339,1,0,0,0,0,0
49,5115,0,0,2,2,0,0
49,3748,0,0,3,0,4,0
49,4472,0,0,0,4,0,1
49,4137,0,0,0,0,2,0
49,449,0,0,0,3,0,0
49,4541,1,0,3,2,0,0
50,6213,0,0,0,0,0,0
50,6863,0,0,0,0,0,0
50,5243,0,0,0,0,0,0
50,6584,0,0,0,0,0,0
50,2537,0,0,0,0,0,0
50,1727,0,0,0,0,0,0
51,2961,0,0,0,0,0,0
51,1629,2,0,0,0,0,0
51,4099,0,0,0,0,0,0
51,2964,0,0,0,0,0,0
51,5945,0,0,1,0,9,0
51,339,1,0,0,0,0,0
52,2849,1,0,3,0,0,0
52,3941,0,0,0,0,8,0
52,449,0,0,0,2,0,0
